OBJECTID,ACRES,ZPREFIX,ZCASE,ZREVISION,ZYEAR,SPPREFIX,SPCASE,SPREVISION,SPYEAR,ZONING,REDEFINE1,DATE_APPRO,LABEL1,ORD_NUM,HISTORIC,GEN_ZONE,INSERT_DATE,UPDATE_DATE,ANID,TOD
1409648,36.17866448,Z,49, ,75, , , , ,C-2,Z-49-75, ,C-2 PCD*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71876, 
1409649,5.66153286,Z, , , , , , , ,C-3, , ,C-3, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71877, 
1409650,0.01199136,Z,5, ,88, , , , ,C-2,Z-5-88, ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71878, 
1409651,26.25282443,Z,61, ,09, , , , ,R1-6,Z-12-89,07/07/2010,R1-6 PRD*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71879, 
1409652,54.23402173,Z,119, ,74, , , , ,PAD-7,Z-119-74, ,PAD-7*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71662, 
1409653,78.75205601,Z,116,D,81,SP, ,, ,PCD,Z-116-D-81, ,PCD SP*,G-3839, ,SF Residential,2023/04/17 20:31:07+00,2023/09/22 22:28:11+00,71663, 
1409654,2.00054077,Z, , , , , , , ,R-3, , ,R-3, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71664, 
1409655,2.30181928,Z, , , , , , , ,R-4, , ,R-4, , ,MF Residential,2023/04/17 20:31:07+00,2024/05/08 16:11:49+00,71665, 
1409656,1.54187686,Z, , , , , , , ,R-3, , ,R-3, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71666, 
1409657,17.38383337,Z, , , , , , , ,R1-14, , ,R1-14, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71667, 
1409658,166.45979322,Z, , , , , , , ,R1-6, , ,R1-6, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71668, 
1409659,1.48929666,Z,162, ,84, , , , ,PSC,Z-162-84, ,PSC*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71669, 
1409660,1.4384748,Z, , , , , , , ,IND.PK., , ,IND.PK., , ,Industrial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71670, 
1409661,4.83449836,Z, , , , , , , ,PAD-14, , ,PAD-14, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71671, 
1409662,0.46690527,Z,13, ,00, , , , ,C-2,Z-13-00, ,C-2, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71672, 
1409663,8.40927535,Z,87, ,00, , , , ,PCD,Z-87-00,11-15-2000,PCD*,G-0000, ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71805, 
1409664,11.27705165,Z, , , , , , , ,R-3A, , ,R-3A, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71806, 
1409665,36.17343001,Z,9, ,85, , , , ,C-2,Z-9-85, ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71807, 
1409666,89.46601067,Z,55, ,89, , , , ,R1-8,Z-55-89, ,R1-8*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71808, 
1409667,7.3397881,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71809, 
1409668,0.9303715,Z,8, ,12, , , , ,C-2,Z-8-12, ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2024/02/28 17:39:36+00,71810, 
1409669,8.15534072,Z, , , , , , , ,IND.PK., , ,IND.PK., , ,Industrial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71811, 
1409670,9.81918585,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72077, 
