OBJECTID,ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,PUD_DOCUMENT,GLOBALID,HEIGHT_STORIES,ADU,Shape_Area,Shape_Length
17920,2010,"Industrial - Mixed Use  (I-MX, M-IMX)",SPECIAL INDUSTRIAL,I-MX,MX,I-MX-8,Commercial Mixed Use,UO-2,,,,,333,2010,,Commercial MU per definitions in code,NA.pdf,431fe3b1-a701-40ea-84ca-31cfc8b1dbc3,8,Yes,56254.62532,1619.726173
17921,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-DX,Residential,,,,,,333,2010,,,NA.pdf,4364de7e-6620-4e92-8908-6efc57b08435,,No,694219.3232,3467.741243
17922,2010,"Mixed Use  (MX, M-GMX)",URBAN CENTER,C-MX,MX,C-MX-8,Commercial Mixed Use,DO-1,,,,,333,2010,,Design Review District,NA.pdf,43840d40-9e43-4dae-9034-2e246f536919,8,Yes,45918.7124,893.0812939
17923,2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-3,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,43aced24-c3ef-4ea6-87c5-e65a306a21ac,3,Yes,18933.30811,562.1922175
17924,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,444e892c-21fa-415f-bbc0-e136ef4e576e,,No,287258.1704,2362.832621
17925,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-8A,Commercial Mixed Use,,,,,,579,2023,,,NA.pdf,44ade8b4-2349-4a50-bea1-edf2c060d4d6,8,Yes,87592.11914,1354.768216
17926,2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-3,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,452473ec-69e9-4575-9f44-28ed111bc3b9,3,Yes,48332.44385,969.6428014
17927,2010,"Multi Unit  (MU, RH, RO)",GENERAL URBAN,G-RH,RH,G-RH-3,Residential,DO-10,,,,,1647,2022,,,NA.pdf,454c8356-3809-480b-9f4f-f6f42b514036,3,Yes,8710.176758,444.2262292
17929,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-3A,Commercial Mixed Use,,,,,,1644,2025,,,NA.pdf,45c7230e-876a-4f17-ac9a-b85a4bbb949e,3,Yes,1833572.258,8736.013115
17930,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-3A,Residential,,,,,,333,2010,,,NA.pdf,45cdde16-b942-4690-8a6a-4cca52493c09,3,Yes,113800.9292,1437.762432
